source,target,Subs,SuperType,Color
DomesticConsumerProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
PharmaceuticalProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
ITBroadcastingProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
LaboratoryScientificProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
PowerGenerationDistributionProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
MusicGamesToysArtsSuppliesProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
ManufacturingSupplyProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
CleaningProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
Furniture,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
LawEnforcementSafetyProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
MedicalEquipment,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
BuildingMaterial,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
IndustrialMachineryProcessingProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
BuildingConstructionMachineryProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
MaterialHandling,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
PlantAnimalProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
HeatingVentilatingAndAirConditioning,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
ToolsGeneralMachineryProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
ElectricalLightingProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
SportsRecreationalProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
Antique,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
PrintingPhotographAVEquipmentProducts,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
OfficeEquipmentSupplyProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
ServiceIndustryMachinerySupplyProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
ChildrensProductMarketCategory,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
TimepiecesJewelryProduct,kko.SecondarySectorProduct,31,SecondarySectorProduct,#6800A7
