count,size_1,kko_1,size_2,kko_2,,,,,,,,,,,,,
25534,56207,kko.Symbolic,25534,kko.Products,,,,,,,,,,,,,
23687,56207,kko.Symbolic,23957,kko.RelationTypes,,,,,,,,,,,,,
19662,56207,kko.Symbolic,19662,kko.SecondarySectorProduct,,,,,,,,,,,,,
21107,56207,kko.Symbolic,21374,kko.OrganicMatter,,,,,,,,,,,,,
17392,56207,kko.Symbolic,17628,kko.CopulativeRelations,,,,,,,,,,,,,
14645,56207,kko.Symbolic,14707,kko.Shapes,,,,,,,,,,,,,
14257,56207,kko.Symbolic,14257,kko.Methodeutic,,,,,,,,,,,,,
13831,56207,kko.Symbolic,13831,kko.KnowledgeDomains,,,,,,,,,,,,,
10993,56207,kko.Symbolic,11188,kko.AttributeTypes,,,,,,,,,,,,,
9285,56207,kko.Symbolic,9514,kko.ActionTypes,,,,,,,,,,,,,
9070,56207,kko.Symbolic,9159,kko.Forms,,,,,,,,,,,,,
10977,56207,kko.Symbolic,11013,kko.LivingThings,,,,,,,,,,,,,
7406,56207,kko.Symbolic,8142,kko.TimeTypes,,,,,,,,,,,,,
6976,56207,kko.Symbolic,7679,kko.EventTypes,,,,,,,,,,,,,
7705,56207,kko.Symbolic,7727,kko.MediativeRelations,,,,,,,,,,,,,
7381,56207,kko.Symbolic,7539,kko.AdjunctualAttributes,,,,,,,,,,,,,
8468,56207,kko.Symbolic,8662,kko.Agents,,,,,,,,,,,,,
9578,56207,kko.Symbolic,9593,kko.Eukaryotes,,,,,,,,,,,,,
7615,56207,kko.Symbolic,8063,kko.Places,,,,,,,,,,,,,
7034,56207,kko.Symbolic,7049,kko.SituationTypes,,,,,,,,,,,,,
6050,56207,kko.Symbolic,6050,kko.Information,,,,,,,,,,,,,
7086,56207,kko.Symbolic,7087,kko.Animals,,,,,,,,,,,,,
5524,56207,kko.Symbolic,5524,kko.SocialSystems,,,,,,,,,,,,,
4782,56207,kko.Symbolic,4848,kko.Organizations,,,,,,,,,,,,,
4486,56207,kko.Symbolic,4486,kko.Society,,,,,,,,,,,,,
3855,56207,kko.Symbolic,3887,kko.IntrinsicAttributes,,,,,,,,,,,,,
4374,56207,kko.Symbolic,4396,kko.LocationPlace,,,,,,,,,,,,,
3343,56207,kko.Symbolic,3345,kko.ContextualAttributes,,,,,,,,,,,,,
3383,56207,kko.Symbolic,3383,kko.PrimarySectorProduct,,,,,,,,,,,,,
3258,56207,kko.Symbolic,3258,kko.TertiarySectorService,,,,,,,,,,,,,
3641,56207,kko.Symbolic,3641,kko.Persons,,,,,,,,,,,,,
2397,56207,kko.Symbolic,2675,kko.NaturalMatter,,,,,,,,,,,,,
2291,56207,kko.Symbolic,2300,kko.DirectRelations,,,,,,,,,,,,,
2063,56207,kko.Symbolic,2063,kko.Facilities,,,,,,,,,,,,,
2108,56207,kko.Symbolic,2108,kko.StructuredInfo,,,,,,,,,,,,,
1799,56207,kko.Symbolic,1799,kko.LearningProcesses,,,,,,,,,,,,,
2175,56207,kko.Symbolic,2175,kko.FoodDrink,,,,,,,,,,,,,
1909,56207,kko.Symbolic,1909,kko.WrittenInfo,,,,,,,,,,,,,
2303,56207,kko.Symbolic,2303,kko.Plants,,,,,,,,,,,,,
1688,56207,kko.Symbolic,2079,kko.AreaRegion,,,,,,,,,,,,,
1526,56207,kko.Symbolic,1526,kko.AVInfo,,,,,,,,,,,,,
1701,56207,kko.Symbolic,1701,kko.Drugs,,,,,,,,,,,,,
1470,56207,kko.Symbolic,1500,kko.RepresentationTypes,,,,,,,,,,,,,
2048,56207,kko.Symbolic,2049,kko.Geopolitical,,,,,,,,,,,,,
1552,56207,kko.Symbolic,1796,kko.NaturalSubstances,,,,,,,,,,,,,
1456,56207,kko.Symbolic,1456,kko.TopicsCategories,,,,,,,,,,,,,
1159,56207,kko.Symbolic,1159,kko.EconomicSystems,,,,,,,,,,,,,
858,56207,kko.Symbolic,881,kko.Chemistry,,,,,,,,,,,,,
1085,56207,kko.Symbolic,1085,kko.VisualInfo,,,,,,,,,,,,,
1023,56207,kko.Symbolic,1043,kko.Associatives,,,,,,,,,,,,,
926,56207,kko.Symbolic,959,kko.NaturalPhenomena,,,,,,,,,,,,,
916,56207,kko.Symbolic,918,kko.Denotatives,,,,,,,,,,,,,
919,56207,kko.Symbolic,929,kko.OrganicChemistry,,,,,,,,,,,,,
915,56207,kko.Symbolic,922,kko.Diseases,,,,,,,,,,,,,
