count,kko_1,kko_2,intersect RCs,,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.TopicsCategories,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.EconomicSystems,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.Chemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.VisualInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.Associatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.NaturalPhenomena,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.Denotatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.OrganicChemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.Diseases,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.Indexes,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.InquiryMethods,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.EmergentKnowledge,set(),,,,,,,,,,,,,,,,,,,
0,kko.AreaRegion,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.Artifacts,kko.Persons,set(),,,,,,,,,,,,,,,,,,,
0,kko.Artifacts,kko.Geopolitical,set(),,,,,,,,,,,,,,,,,,,
0,kko.Artifacts,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.Artifacts,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.Artifacts,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Associatives,kko.OrganicChemistry,set(),,,,,,,,,,,,,,,,,,,
